race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,actual
8,8,8,Kenz,0.2582,0.0793,0.8631578947368421,,,"{'pos': [('jockey win% on surface', 0.06526162050535882), ('career ITM%', 0.06004560801461735)], 'neg': [('finish placement (last race)', -0.2590647670147249), ('last race field size', -0.08933163952993084), ('post position', -0.08913435971868805)]}",7
9,1,2,Jokester,0.4779,0.1768,0.8,,,"{'pos': [('finish placement (last race)', 0.25330776640123676), ('last race was maiden', 0.18052457626090962), ('trainer home = GP', 0.15614690452009333)], 'neg': [('pace type last race    MISSING = ', -0.11870889428782849), ('speed figure last race', -0.09480067706842987), ('no data: avg finish placement (last 3)', -0.06561256490969579)]}",1
9,2,12,National Forest,0.338,0.1154,0.4842105263157895,,,"{'pos': [('trainer win% first-time starters', 0.19743377718120553), ('trainer win% on surface', 0.19081654854333796), ('jockey win% on surface', 0.15357925971227215)], 'neg': [('post position', -0.11460131381869615), ('trainer win% at other tracks', -0.08234443171827291), ('trainer home = GP', -0.07807345226004667)]}",2
9,3,3,Staunch,0.30970000000000003,0.1019,0.47368421052631576,,,"{'pos': [('trainer home = GP', 0.15614690452009333), ('post position', 0.08913435519231924), ('jockey win% on surface', 0.08406956170770116)], 'neg': []}",3
9,4,1,Bombarino,0.24710000000000001,0.0801,0.49473684210526314,,,"{'pos': [('jockey home = GP', 0.20535823351060103), ('post position', 0.140068273373559), ('jockey starts at other tracks', 0.06557843018179334)], 'neg': [('jockey home = ELP', -0.08911736302422628), ('trainer home = GP', -0.07807345226004667), ('trainer win% on surface', -0.06859299065841322)]}",9
9,5,5,Cosmic Confection,0.2405,0.0783,0.4842105263157895,,,"{'pos': [('trainer home = GP', 0.15614690452009333), ('trainer win% (1yr)', 0.06851425352532908)], 'neg': [('jockey win% on surface', -0.08767684083754514)]}",4
9,6,6,Bardstown,0.2384,0.0778,0.4842105263157895,,,"{'pos': [('trainer home = GP', 0.15614690452009333)], 'neg': [('trainer win% first-time starters', -0.07166875659122363)]}",5
9,7,10,Westlake,0.22749999999999998,0.0745,0.49473684210526314,,,"{'pos': [], 'neg': [('trainer home = GP', -0.07807345226004667), ('post position', -0.06366739935140003)]}",8
9,8,9,Round Up,0.22299999999999998,0.0723,0.7789473684210526,,,"{'pos': [('last race was maiden', 0.18052457626090962), ('no data: finish placement (last race)', 0.15083504527713673), ('no data: won last race', 0.15083504527713673)], 'neg': [('pace type last race    MISSING = ', -0.11870889428782849), ('speed figure last race', -0.09922716991610571), ('career ITM%', -0.08929211860984831)]}",12
9,9,11,Okarito,0.197,0.0613,0.4842105263157895,,,"{'pos': [('trainer win% at other tracks', 0.05659743078823051), ('trainer win% at track', 0.055237559241000246)], 'neg': [('post position', -0.08913435658504809), ('trainer home = GP', -0.07807345226004667), ('trainer win% on surface', -0.07403645177180586)]}",6
9,10,8,Clearfor Takeoff,0.196,0.0673,0.49473684210526314,,,"{'pos': [], 'neg': [('trainer home = GP', -0.07807345226004667), ('trainer win% first-time starters', -0.06084424037781705)]}",11
9,11,4,Borax,0.1673,0.0533,0.4631578947368421,,,"{'pos': [('post position', 0.06366739795867118)], 'neg': [('trainer win% (1yr)', -0.07912226144925676), ('trainer home = GP', -0.07807345226004667), ('trainer starts (30d)', -0.05949659784620113)]}",10
9,12,14,Ritornello,0.1376,0.041,0.4631578947368421,,,"{'pos': [], 'neg': [('post position', -0.14006827105234423), ('jockey win% on surface', -0.1285839424011322), ('trainer home = GP', -0.07807345226004667)]}",7
