race_num,rank,pgm,horse,P(ITM),P(win),cov,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
6,9,5,Honorthe Bull,0.2123,0.0692,0.9052631578947369,30/1,96.0,"{'pos': [('closeness to winner (last race)', 0.24251381804873412), ('last race was maiden', 0.08665179660523661), ('no data: finish placement (last race)', 0.07240082173302563)], 'neg': [('jockey win% on surface', -0.20481887426860126), ('finish placement (last race)', -0.17961823954652337), ('career ITM%', -0.1775736340422811)]}",False,0.8842105263157894,7.0
6,10,3,Ojin,0.1713,0.0514,0.8736842105263158,20/1,94.6,"{'pos': [('last race was maiden', 0.08665179660523661), ('no data: won last race', 0.07240082173302563), ('no data: finish placement (last race)', 0.07240082173302563)], 'neg': [('jockey win% on surface', -0.16776274668532223), ('last race field size', -0.14293061812252394), ('closeness to winner (last race)', -0.10761228949328223)]}",False,0.8105263157894737,4.0
7,1,7,Life Is Daily,0.7097,0.2708,0.9052631578947369,8/5,127.2,"{'pos': [('jockey win% on surface', 0.24196541025365326), ('career win% on surface', 0.16241768624074404), ('finish placement (last race)', 0.11513989569891889)], 'neg': [('career win%', -0.2447050905225637)]}",False,0.9052631578947369,2.0
7,2,6,Tricks Rfor Juba,0.5919,0.207,0.9263157894736842,9/5,121.4,"{'pos': [('finish placement (last race)', 0.25330777053762155), ('career win% on surface', 0.1176365116720706), ('career ITM%', 0.08061098960438887)], 'neg': [('career win%', -0.1772359419786105), ('won last race', -0.14734801845463016), ('closeness to winner (last race)', -0.06951033005434408)]}",False,0.9263157894736842,1.0
7,3,3,Mr.Dumbledore,0.5724,0.1947,0.9157894736842105,6/1,118.4,"{'pos': [('finish placement (last race)', 0.25330777053762155), ('career win%', 0.10667722792877438), ('avg finish placement (last 3)', 0.0649084277714832)], 'neg': [('won last race', -0.14734801845463016), ('starts at this track', -0.0712212963502614), ('career win% on surface', -0.07080469308902991)]}",False,0.9157894736842105,3.0
7,4,8,Noble Ruling,0.4476,0.1324,0.9052631578947369,10/1,115.0,"{'pos': [('won last race', 0.0736740092273151)], 'neg': [('career ITM%', -0.06577922335010053), ('post position', -0.06366739695281144), ('weight (lbs)', -0.05597995853023424)]}",False,0.9052631578947369,4.0
7,5,4,WV Lad,0.3701,0.1094,0.9052631578947369,12/1,113.1,"{'pos': [('closeness to winner (last race)', 0.0746592406330708), ('won last race', 0.0736740092273151), ('career win%', 0.06565289670240379)], 'neg': [('finish placement (last race)', -0.2993637288171891), ('speed figure last race', -0.07613563885311048)]}",False,0.9052631578947369,6.0
7,6,1,Direct Appeal,0.30829999999999996,0.0857,0.9052631578947369,12/1,115.5,"{'pos': [('career win%', 0.21784767735956384), ('won last race', 0.0736740092273151), ('career ITM%', 0.06471087520357119)], 'neg': [('finish placement (last race)', -0.2993637288171891), ('jockey win% on surface', -0.1569732865752787), ('career win% on surface', -0.1445916649110426)]}",False,0.9052631578947369,5.0
8,1,10,Solomons Gold,0.7013,0.26,0.9263157894736842,10/1,116.1,"{'pos': [('career ITM%', 0.2486882433356244), ('trainer win% on surface', 0.17707822989389546), ('jockey win% on surface', 0.1457911173802916)], 'neg': [('career win%', -0.18606777526837576), ('last race field size', -0.15881180360876593), ('trainer win% at other tracks', -0.07149366219084666)]}",False,0.9263157894736842,2.0
8,2,2,Outdoor Cat,0.641,0.2205,0.7052631578947368,3/5,123.0,"{'pos': [('career starts', 0.17163237152760175), ('career win%', 0.12997565043043366), ('pace type last race    MISSING = ', 0.11870889428782848)], 'neg': [('no data: finish placement (last race)', -0.15083504527713673), ('no data: won last race', -0.15083504527713673), ('career ITM%', -0.10024887931929873)]}",True,0.5263157894736842,
8,3,8,Absolute Grit,0.5912999999999999,0.1966,0.9473684210526315,20/1,109.1,"{'pos': [('career ITM%', 0.2747036897301317), ('career win% on surface', 0.07880469779398411), ('starts at this track', 0.06803227568177948)], 'neg': [('career win%', -0.13744570137789308), ('weight (lbs)', -0.07837194597644451)]}",False,0.9473684210526315,5.0
8,4,7,Jester's Song,0.5410999999999999,0.177,0.9368421052631579,12/1,111.9,"{'pos': [('finish placement (last race)', 0.13816787258249277), ('career ITM%', 0.105892442031218), ('career starts', 0.10220804164798274)], 'neg': [('jockey win% on surface', -0.11117425289911023), ('career win% on surface', -0.06152335681824822)]}",False,0.9368421052631579,1.0
8,5,9,Smooth Rico,0.2904,0.0797,0.9368421052631579,20/1,100.1,"{'pos': [('career win%', 0.19630574897524308), ('finish placement (last race)', 0.13816787258249277)], 'neg': [('career ITM%', -0.34933631194872433), ('career win% on surface', -0.17633407882705854), ('purse change vs last', -0.15443817023986273)]}",False,0.9368421052631579,4.0
8,6,4,Cowboy At Heart,0.2349,0.0662,0.9368421052631579,30/1,103.4,"{'pos': [('wins at this track', 0.13824517709813083), ('last race field size', 0.07940590180438295), ('speed figure last race', 0.06250205078596727)], 'neg': [('finish placement (last race)', -0.27633575193361526), ('starts at this track', -0.21260085963999065), ('career ITM%', -0.17969918382895103)]}",False,0.9368421052631579,3.0
