race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,_cc_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
7,2,6,Tricks Rfor Juba,0.6194999999999999,0.5893,0.2244,0.9263157894736842,-0.0031506022259896183,0.19300115290383912,,,"{'pos': [('finish placement (last race)', 0.25330777053762155), ('career win% on surface', 0.1176365116720706), ('career ITM%', 0.08061098960438887)], 'neg': [('career win%', -0.1772359419786105), ('won last race', -0.14734801845463016), ('closeness to winner (last race)', -0.06951033005434408)]}",False,0.9263157894736842,1.0
7,3,3,Mr.Dumbledore,0.5571,0.5727,0.1865,0.9157894736842105,0.058634296778133144,-0.059971938410986025,,,"{'pos': [('finish placement (last race)', 0.25330777053762155), ('career win%', 0.10667722792877438), ('avg finish placement (last 3)', 0.0649084277714832)], 'neg': [('won last race', -0.14734801845463016), ('starts at this track', -0.0712212963502614), ('career win% on surface', -0.07080469308902991)]}",False,0.9157894736842105,3.0
7,4,8,Noble Ruling,0.4554,0.4461,0.1354,0.9052631578947369,-0.05065030088840827,0.15630964021178478,,,"{'pos': [('won last race', 0.0736740092273151)], 'neg': [('career ITM%', -0.06577922335010053), ('post position', -0.06366739695281144), ('weight (lbs)', -0.05597995853023424)]}",False,0.9052631578947369,4.0
7,5,1,Direct Appeal,0.3446,0.314,0.0982,0.9052631578947369,0.08306716228700073,0.1131534031253632,,,"{'pos': [('career win%', 0.21784767735956384), ('won last race', 0.0736740092273151), ('career ITM%', 0.06471087520357119)], 'neg': [('finish placement (last race)', -0.2993637288171891), ('jockey win% on surface', -0.1569732865752787), ('career win% on surface', -0.1445916649110426)]}",False,0.9052631578947369,5.0
7,6,4,WV Lad,0.34299999999999997,0.3687,0.0994,0.9052631578947369,0.011792943070887962,-0.05997193841098608,,,"{'pos': [('closeness to winner (last race)', 0.0746592406330708), ('won last race', 0.0736740092273151), ('career win%', 0.06565289670240379)], 'neg': [('finish placement (last race)', -0.2993637288171891), ('speed figure last race', -0.07613563885311048)]}",False,0.9052631578947369,6.0
8,1,10,Solomons Gold,0.7256,0.7203999999999999,0.2734,0.9263157894736842,-0.05726243778953988,0.01534406642769226,,,"{'pos': [('career ITM%', 0.2486882433356244), ('trainer win% on surface', 0.17707822989389546), ('career win% on surface', 0.16591078699648432)], 'neg': [('career win%', -0.18606777526837576), ('last race field size', -0.15881180360876593), ('trainer win% at other tracks', -0.07149366219084666)]}",False,0.9263157894736842,2.0
8,2,8,Absolute Grit,0.6255999999999999,0.6035999999999999,0.2118,0.9473684210526315,-0.01600910432211311,0.035357618805176516,,,"{'pos': [('career ITM%', 0.2747036897301317), ('career win% on surface', 0.10034642089580458), ('starts at this track', 0.06803227568177948)], 'neg': [('career win%', -0.13744570137789308), ('weight (lbs)', -0.07837194597644451)]}",False,0.9473684210526315,5.0
8,3,2,Outdoor Cat,0.6211,0.5617,0.2007,0.5263157894736842,0.22843850389896925,-0.04977721439804528,,,"{'pos': [('career starts', 0.17163237152760175), ('career win%', 0.12997565043043366), ('pace type last race    MISSING = ', 0.11870889428782848)], 'neg': [('no data: finish placement (last race)', -0.15083504527713673), ('no data: won last race', -0.15083504527713673), ('speed figure last race', -0.1341964464416185)]}",True,0.5263157894736842,
8,4,7,Jester's Song,0.6116,0.5643,0.2045,0.9368421052631579,0.2515334247548203,-0.14110331479408678,,,"{'pos': [('finish placement (last race)', 0.13816787258249277), ('career ITM%', 0.105892442031218), ('career starts', 0.10220804164798274)], 'neg': [('jockey win% on surface', -0.11117425289911023)]}",False,0.9368421052631579,1.0
8,5,4,Cowboy At Heart,0.22089999999999999,0.24680000000000002,0.0598,0.9368421052631579,-0.09787733820437805,-0.14443890685700078,,,"{'pos': [('wins at this track', 0.13824517709813083), ('last race field size', 0.07940590180438295), ('speed figure last race', 0.071635376820429)], 'neg': [('finish placement (last race)', -0.27633575193361526), ('starts at this track', -0.21260085963999065), ('career ITM%', -0.17969918382895103)]}",False,0.9368421052631579,3.0
8,6,9,Smooth Rico,0.19519999999999998,0.3032,0.0498,0.9368421052631579,-0.36729924866616115,-0.32092650676902135,,,"{'pos': [('career win%', 0.19630574897524308), ('finish placement (last race)', 0.13816787258249277)], 'neg': [('career ITM%', -0.34933631194872433), ('career win% on surface', -0.15479235572523806), ('purse change vs last', -0.15443817023986273)]}",False,0.9368421052631579,4.0
