race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov,actual
8,4,8,Foie Gras,0.6009,0.5591,0.1973,0.9368421052631579,0.47606107958499877,5/2,139.4,"{'pos': [('purse change vs last', 0.36762486518994375), ('last race field size', 0.2514520284821715), ('career win%', 0.2003203670361278)], 'neg': [('speed figure last race', -0.16153740872477182), ('career win% on surface', -0.13956711167391864), ('jockey home = GP', -0.11201358191487328)]}",False,0.9368421052631579,1.0
8,5,2,Professor Grace,0.2351,0.259,0.0648,0.9368421052631579,0.15983360884837694,30/1,121.6,"{'pos': [('career ITM%', 0.15467961433313274), ('trainer starts at other tracks', 0.11102703846635306), ('speed figure last race', 0.10892118792592001)], 'neg': [('purse change vs last', -1.1689954533673403), ('career win%', -0.12891139630225493), ('jockey home = GP', -0.11201358191487328)]}",False,0.9368421052631579,4.0
8,6,4,Serenade Me,0.18380000000000002,0.176,0.0473,0.9368421052631579,0.3419313739683534,30/1,120.8,"{'pos': [('speed figure last race', 0.1708920598956398), ('career ITM%', 0.14278682466624562), ('trainer starts at other tracks', 0.11186682695951178)], 'neg': [('purse change vs last', -1.027296306928707), ('trainer win% on surface', -0.13481398718338103), ('jockey home = GP', -0.11201358191487328)]}",False,0.9368421052631579,5.0
9,1,3,Solitude Dude,0.6653,0.6466000000000001,0.2564,0.9157894736842105,0.37231814167049937,1/1,141.3,"{'pos': [('purse change vs last', 0.5403311738191265), ('closeness to winner (last race)', 0.14931848545439916), ('last race field size', 0.13612440100124207)], 'neg': [('trainer starts at other tracks', -0.22879737804006767), ('speed figure last race', -0.1505006885711456), ('career win%', -0.0952118843223721)]}",False,0.8631578947368421,4.0
9,2,1,Coronade Oro,0.5708,0.5362,0.1956,0.9052631578947369,0.4186426089224235,10/1,135.1,"{'pos': [('purse change vs last', 0.5188325844010273), ('trainer starts at other tracks', 0.23046195929019955), ('trainer win% at other tracks', 0.07738606058244714)], 'neg': [('trainer win% on surface', -0.20181216495214782), ('last race field size', -0.18149919889433924), ('trainer home = GP', -0.1338402038743657)]}",False,0.8526315789473684,5.0
9,3,7,Tab At Zanzibar,0.4995,0.5438999999999999,0.1608,0.6631578947368421,0.10324633681722828,10/1,134.8,"{'pos': [('purse change vs last', 0.5919277828901108), ('trainer win% first-time starters', 0.19852849215373353), ('trainer starts at other tracks', 0.18427359159122156)], 'neg': [('finish placement (last race)', -0.21712094295194717), ('no data: finish placement (last race)', -0.15514461799934065), ('no data: won last race', -0.15514461799934065)]}",True,0.5368421052631579,6.0
9,4,2,Bravaro,0.4869,0.48950000000000005,0.1582,0.9052631578947369,0.2644565506103721,8/1,137.6,"{'pos': [('purse change vs last', 0.5403311738191265), ('career win%', 0.20040461517920202), ('last race field size', 0.13612440100124207)], 'neg': [('trainer starts at other tracks', -0.22879737804006767), ('finish placement (last race)', -0.21712094295194717), ('career win% on surface', -0.14250983787261742)]}",False,0.8526315789473684,1.0
9,5,4,Langvad,0.3144,0.2893,0.0924,0.9157894736842105,0.40078462665533665,6/1,129.4,"{'pos': [('finish placement (last race)', 0.19738267705174106), ('trainer home = GP', 0.10038015290577429), ('jockey home = GP', 0.09601164164131995)], 'neg': [('purse change vs last', -0.5775953802255355), ('trainer starts at other tracks', -0.22879737804006767), ('last race field size', -0.18149919889433924)]}",False,0.9157894736842105,2.0
9,6,8,Volendam,0.23259999999999997,0.2097,0.0689,0.8842105263157894,0.41626011262347606,15/1,131.2,"{'pos': [('career win%', 0.18181382650259223), ('last race field size', 0.13612440100124207), ('trainer home = GP', 0.10038015290577429)], 'neg': [('purse change vs last', -0.5489306421829862), ('career win% on surface', -0.1301706044454761), ('jockey home = GP', -0.12801552218842663)]}",False,0.8842105263157894,7.0
9,7,5,Ryan's Run,0.23049999999999998,0.2848,0.0677,0.9052631578947369,-0.008844688392281697,10/1,132.7,"{'pos': [('trainer starts at other tracks', 0.23119677406352018), ('jockey win% on surface', 0.23017421714449923), ('career win% on surface', 0.22925465284792718)], 'neg': [('purse change vs last', -1.0648966925208687), ('career win%', -0.35971083285176897), ('won last race', -0.15787287691567517)]}",False,0.9052631578947369,3.0
10,1,5,Luv Your Neighbor,0.7442,0.6784,0.3128,0.6421052631578947,0.506069012675549,8/5,139.1,"{'pos': [('purse change vs last', 1.2359733374055453), ('trainer home = GP', 0.1301224204334111), ('jockey win% on surface', 0.12159685328025732)], 'neg': [('career win% on surface', -0.08165762901832663), ('no data: won last race', -0.0804453574811396), ('no data: finish placement (last race)', -0.0804453574811396)]}",True,0.5157894736842106,5.0
10,2,4,Irish Jig,0.5676,0.5615,0.186,0.6736842105263158,0.23478780730993776,12/1,124.0,"{'pos': [('purse change vs last', 1.2359733374055453), ('trainer starts at other tracks', 0.1042737390062964), ('jockey home = GP', 0.09956762836877625)], 'neg': [('trainer home = GP', -0.10409793634672888), ('no data: won last race', -0.0804453574811396), ('no data: finish placement (last race)', -0.0804453574811396)]}",True,0.5157894736842106,7.0
