race_num,rank,pgm,horse,P(ITM),base,P(win),cov,_rr_delta,ML,PrimePwr,_reasons,_shipper,_corpus_cov
4,3,5,Modo Leyenda,0.4298,0.4194,0.1233,0.7789473684210526,-0.1641517097488876,,,"{'pos': [('trainer home = GP', 0.11711017839007), ('last race was maiden', 0.10831474575654576), ('no data: won last race', 0.09050102716628204)], 'neg': [('last race field size', -0.22498338722542666), ('finish placement (last race)', -0.18422383537448012), ('career ITM%', -0.12612836470031874)]}",False,0.7789473684210526
4,4,1,Monetary,0.4083,0.4352,0.1151,0.43157894736842106,-0.30258270959086153,,,"{'pos': [('trainer home = GP', 0.11711017839007), ('finish placement (last race)', 0.092111918815345), ('pace type last race    MISSING = ', 0.07122533657269708)], 'neg': [('last race was maiden', -0.10831474575654577), ('no data: won last race', -0.09050102716628204), ('no data: finish placement (last race)', -0.09050102716628204)]}",True,0.43157894736842106
4,5,3,Nifty's Spirit,0.3832,0.4064,0.1089,0.4,-0.2973016460870874,,,"{'pos': [('finish placement (last race)', 0.092111918815345), ('pace type last race    MISSING = ', 0.07122533657269708)], 'neg': [('trainer home = GP', -0.11711017839007), ('last race was maiden', -0.10831474575654577), ('no data: won last race', -0.09050102716628204)]}",True,0.4
4,6,6,Daily Prayer,0.3507,0.3762,0.0941,0.4,-0.30258270959086153,,,"{'pos': [('finish placement (last race)', 0.092111918815345), ('pace type last race    MISSING = ', 0.07122533657269708)], 'neg': [('trainer home = GP', -0.11711017839007), ('last race was maiden', -0.10831474575654577), ('no data: won last race', -0.09050102716628204)]}",True,0.4
5,1,1,Mish,0.6998,0.712,0.2757,0.8736842105263158,0.07800535965704691,,,"{'pos': [('finish placement (last race)', 0.36844766623654046), ('career win% on surface', 0.25981835345220455), ('career ITM%', 0.206981644415851)], 'neg': [('career win%', -0.36513473034608745), ('won last race', -0.14734801845463016), ('last race field size', -0.145577475658443)]}",False,0.8736842105263158
5,2,2,Kinetic Stone,0.5213000000000001,0.4949,0.1691,0.8631578947368421,0.2590804126615319,,,"{'pos': [('finish placement (last race)', 0.36844766623654046), ('career win%', 0.1413860418631543), ('pace progression last race', 0.08730041589027768)], 'neg': [('blinkers change', -0.1627050101102479), ('won last race', -0.14734801845463016), ('closer last race', -0.10471237929628045)]}",False,0.8631578947368421
5,3,5,Zydeceaux,0.48560000000000003,0.4677,0.1574,0.8315789473684211,0.22034840873779926,,,"{'pos': [('finish placement (last race)', 0.23027979139783777), ('career win%', 0.11935251353181435), ('blinkers change', 0.08135250505512398)], 'neg': [('jockey home = GP', -0.14935144255316438), ('career win% on surface', -0.08162050229888843)]}",False,0.8315789473684211
5,4,3,Proud American,0.47409999999999997,0.46950000000000003,0.1525,0.8842105263157894,0.16706975842484983,,,"{'pos': [('last race field size', 0.17204611691518779), ('blinkers change', 0.08135250505512398), ('jockey home = GP', 0.0746757212765822)], 'neg': [('finish placement (last race)', -0.4605595827956756), ('career ITM%', -0.17852939259891726), ('no data: trainer win% off layoff', -0.09760582891191559)]}",False,0.8842105263157894
5,5,4,He Be Hoppin,0.42910000000000004,0.47650000000000003,0.1342,0.8526315789473684,-0.04416839298109965,,,"{'pos': [('trainer home = GP', 0.19518363065011668), ('purse change vs last', 0.14069388810634237), ('class rating change vs last', 0.10129080210744607)], 'neg': [('finish placement (last race)', -0.3223917079569729), ('blinkers change', -0.1627050101102479), ('career ITM%', -0.11154946469487814)]}",False,0.8526315789473684
5,6,6,Adios Now,0.3901,0.37939999999999996,0.1111,0.8315789473684211,0.18807710958315216,,,"{'pos': [('career ITM%', 0.14913295229394094), ('career win%', 0.11854641112241605), ('blinkers change', 0.08135250505512398)], 'neg': [('finish placement (last race)', -0.18422383311827023), ('jockey home = GP', -0.14935144255316438), ('career win% on surface', -0.14399968331501437)]}",False,0.8315789473684211
6,1,7,Dama Du Sucre,0.6752,0.6607000000000001,0.2636,0.7789473684210526,-0.1709898599536922,,,"{'pos': [('last race was maiden', 0.15473535108077968), ('trainer win% on surface', 0.14077021121731462), ('no data: won last race', 0.12928718166611722)], 'neg': [('last race field size', -0.2041865983638843), ('pace type last race    MISSING = ', -0.10175048081813869), ('speed figure last race', -0.09276660032117241)]}",False,0.7789473684210526
6,2,4,Early Spark,0.6369,0.5662,0.2352,0.7789473684210526,0.06784816914439762,,,"{'pos': [('last race was maiden', 0.15473535108077968), ('no data: finish placement (last race)', 0.12928718166611722), ('no data: won last race', 0.12928718166611722)], 'neg': [('pace type last race    MISSING = ', -0.10175048081813869), ('no data: avg finish placement (last 3)', -0.05623934135116783)]}",False,0.7789473684210526
6,3,1,Makeitlookez,0.41609999999999997,0.43600000000000005,0.1259,0.42105263157894735,-0.30258270959086164,,,"{'pos': [('jockey home = GP', 0.09601164164131995), ('jockey win% on surface', 0.09278919778952979), ('post position', 0.07640087581281035)], 'neg': [('trainer home = GP', -0.16730025484295716), ('last race was maiden', -0.06189414043231187), ('no data: finish placement (last race)', -0.051714872666446865)]}",True,0.42105263157894735
